logage, CAF
6.903898420803436, -6.1286115260160665
7.260885260396094, -6.2255920352199805
7.10652317785515, -6.177062542671266
7.424873719208021, -6.290366037725978
7.521346750967215, -6.322729496210922
7.685282892516801, -6.42002390898889
7.829913964262078, -6.517349712124264
7.9648925011052025, -6.61469121043834
8.138376543032257, -6.7770107485815485
8.253997692808731, -6.906904047525001
8.388897753758341, -7.053026161247034
8.600808824875811, -7.329104354627331
8.81266757873094, -7.637702958279599
9.005221262781761, -7.946332952289273
9.15921712448631, -8.222505316741785
9.342039797741464, -8.579931621338119
9.486252331388004, -8.937420706649263
9.591828566794756, -9.311232777811203
9.658716186699381, -9.733888245095912

