logMi, logtdis
2.0546984572230014, 6.9009900990099
2.11781206171108, 7.138613861386138
2.193548387096774, 7.396039603960395
2.332398316970547, 7.702970297029702
2.420757363253857, 7.8514851485148505
2.5511921458625526, 8.029702970297029
2.685834502103787, 8.178217821782177
2.879382889200561, 8.376237623762375
2.997194950911641, 8.475247524752474
3.1402524544179524, 8.594059405940593
3.346423562412342, 8.76237623762376
3.539971949509116, 8.91089108910891
3.737727910238429, 9.049504950495049
3.985974754558205, 9.227722772277227
4.2005610098176716, 9.376237623762375
4.465638148667602, 9.564356435643564
4.768583450210379, 9.76237623762376
4.995792426367461, 9.920792079207919


