logage, CAF
6.142275129624528, 0.40512048192771166
6.379245672920373, 0.45030120481927793
6.636299877263734, 0.07379518072289226
6.884983906520052, 0.2921686746987959
7.129890351426497, 0.2921686746987959
7.375248916664581, -0.28012048192771033
7.798106354732862, -0.5286144578313248
8.01944305287679, -0.6942771084337345
8.118267039050172, -0.7846385542168668
8.363423339929366, -1.1009036144578306
8.873272299175916, -1.4623493975903608
9.118386957392984, -1.725903614457831
9.601650051348848, -3.4352409638554215

