logage, CAF
6.612908599053179, -0.3177710843373487
6.715319803121009, 0.05120481927710929
6.810223430102949, -0.07680722891566205
6.897316083460663, -0.3177710843373487
7.004022430679058, -0.38554216867469826
7.110645492573204, -0.34789156626505946
7.201563321894648, -0.43072289156626464
7.308460035568471, -0.7394578313253009
7.509528655161187, -0.24999999999999933
7.608364539238034, -0.3554216867469875
7.8375954963304375, -0.5135542168674692
7.897007677278763, -0.7168674698795177
8.011643977156027, -0.8222891566265056
8.130153044610879, -0.8298192771084332
8.209214613130277, -0.9051204819277103
8.311893520026052, -0.8749999999999996
8.43028360844626, -0.7319277108433728
8.501474713824113, -0.8448795180722888
8.699259512060719, -1.198795180722891
8.901160984895927, -1.7635542168674694
9.004012411391932, -1.951807228915662
9.122771334819529, -2.2756024096385543
9.217722553415326, -2.4638554216867465
9.308771259674877, -2.712349397590361
9.396000738922428, -3.1265060240963853

